lat,lon,temp,month,hemisphere
-60,-70.35159,4.61,jan,s
-60,-70.35159,5.59,feb,s
-60,-70.35159,4.72,mar,s
-60,-70.35159,3.58,apr,s
-60,-70.35159,2.57,may,s
-60,-70.35159,1.97,jun,s
-60,-70.35159,1.78,jul,s
-60,-70.35159,1.57,aug,s
-60,-70.35159,1.71,sep,s
-60,-70.35159,2.68,oct,s
-60,-70.35159,3.19,nov,s
-60,-70.35159,3.75,dec,s
-50,-70.35159,14.01,jan,s
-50,-70.35159,14.57,feb,s
-50,-70.35159,9.6,mar,s
-50,-70.35159,6.1,apr,s
-50,-70.35159,2.9,may,s
-50,-70.35159,-1.63,jun,s
-50,-70.35159,-1.9,jul,s
-50,-70.35159,1.97,aug,s
-50,-70.35159,3.18,sep,s
-50,-70.35159,7.09,oct,s
-50,-70.35159,10.83,nov,s
-50,-70.35159,14.03,dec,s
-40,-70.35159,18.21,jan,s
-40,-70.35159,18.24,feb,s
-40,-70.35159,12.96,mar,s
-40,-70.35159,9.43,apr,s
-40,-70.35159,6.04,may,s
-40,-70.35159,1.65,jun,s
-40,-70.35159,0.74,jul,s
-40,-70.35159,3.59,aug,s
-40,-70.35159,6.68,sep,s
-40,-70.35159,8.06,oct,s
-40,-70.35159,12.35,nov,s
-40,-70.35159,15.68,dec,s
-30,-70.35159,10.75,jan,s
-30,-70.35159,11.69,feb,s
-30,-70.35159,9.2,mar,s
-30,-70.35159,8.19,apr,s
-30,-70.35159,4.1,may,s
-30,-70.35159,-0.69,jun,s
-30,-70.35159,-0.57,jul,s
-30,-70.35159,2.6,aug,s
-30,-70.35159,5.35,sep,s
-30,-70.35159,5.13,oct,s
-30,-70.35159,8.54,nov,s
-30,-70.35159,10.12,dec,s
-20,-70.35159,21.02,jan,s
-20,-70.35159,21.74,feb,s
-20,-70.35159,21,mar,s
-20,-70.35159,19.63,apr,s
-20,-70.35159,17.58,may,s
-20,-70.35159,17.06,jun,s
-20,-70.35159,16.34,jul,s
-20,-70.35159,15.86,aug,s
-20,-70.35159,16.12,sep,s
-20,-70.35159,17.94,oct,s
-20,-70.35159,18.84,nov,s
-20,-70.35159,20.03,dec,s
-10,-70.35159,25.6,jan,s
-10,-70.35159,25.01,feb,s
-10,-70.35159,24.8,mar,s
-10,-70.35159,24.93,apr,s
-10,-70.35159,25.21,may,s
-10,-70.35159,25.39,jun,s
-10,-70.35159,27.23,jul,s
-10,-70.35159,26.77,aug,s
-10,-70.35159,28.79,sep,s
-10,-70.35159,27.85,oct,s
-10,-70.35159,26.72,nov,s
-10,-70.35159,25.75,dec,s
0,-70.35159,25.13,jan,
0,-70.35159,25.22,feb,
0,-70.35159,25.71,mar,
0,-70.35159,24.82,apr,
0,-70.35159,24.78,may,
0,-70.35159,24.21,jun,
0,-70.35159,24.5,jul,
0,-70.35159,24.81,aug,
0,-70.35159,25.16,sep,
0,-70.35159,25.51,oct,
0,-70.35159,25.61,nov,
0,-70.35159,25.1,dec,
10,-70.35159,25.01,jan,
10,-70.35159,23.53,feb,
10,-70.35159,26.22,mar,
10,-70.35159,26.18,apr,
10,-70.35159,26.19,may,
10,-70.35159,26.2,jun,
10,-70.35159,25.87,jul,
10,-70.35159,26.08,aug,
10,-70.35159,25.47,sep,
10,-70.35159,24.56,oct,
10,-70.35159,24.96,nov,
10,-70.35159,24.4,dec,
20,-70.35159,25.69,jan,
20,-70.35159,24.93,feb,
20,-70.35159,24.72,mar,
20,-70.35159,25.75,apr,
20,-70.35159,26.32,may,
20,-70.35159,27.26,jun,
20,-70.35159,27.73,jul,
20,-70.35159,27.93,aug,
20,-70.35159,28.14,sep,
20,-70.35159,27.59,oct,
20,-70.35159,27.19,nov,
20,-70.35159,26.48,dec,
30,-70.35159,20.06,jan,
30,-70.35159,21.4,feb,
30,-70.35159,19.28,mar,
30,-70.35159,21.25,apr,
30,-70.35159,23.7,may,
30,-70.35159,26.3,jun,
30,-70.35159,27.04,jul,
30,-70.35159,27.97,aug,
30,-70.35159,27.69,sep,
30,-70.35159,25.86,oct,
30,-70.35159,24.05,nov,
30,-70.35159,21.92,dec,
40,-70.35159,4.55,jan,
40,-70.35159,6.93,feb,
40,-70.35159,5.55,mar,
40,-70.35159,7.92,apr,
40,-70.35159,12.1,may,
40,-70.35159,16.34,jun,
40,-70.35159,21.51,jul,
40,-70.35159,23.54,aug,
40,-70.35159,20.99,sep,
40,-70.35159,16.25,oct,
40,-70.35159,10.91,nov,
40,-70.35159,7.32,dec,
50,-70.35159,-21.45,jan,
50,-70.35159,-16.46,feb,
50,-70.35159,-7.81,mar,
50,-70.35159,-6.81,apr,
50,-70.35159,3.93,may,
50,-70.35159,10.83,jun,
50,-70.35159,17.18,jul,
50,-70.35159,15.55,aug,
50,-70.35159,8.92,sep,
50,-70.35159,-2.49,oct,
50,-70.35159,-9.54,nov,
50,-70.35159,-16.17,dec,
60,-70.35159,-28.36,jan,
60,-70.35159,-29.39,feb,
60,-70.35159,-13.88,mar,
60,-70.35159,-12.36,apr,
60,-70.35159,-7.08,may,
60,-70.35159,1.2,jun,
60,-70.35159,7.55,jul,
60,-70.35159,7.02,aug,
60,-70.35159,1.45,sep,
60,-70.35159,-6.02,oct,
60,-70.35159,-11.18,nov,
60,-70.35159,-19.9,dec,
